Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Rainfall_Bin,Yield_log,Pesticide_log,Fertilizer_log
arecanut,1997,Whole Year ,Assam,73814.0,56708,2051.4,7024878.38,22882.34,0.796086957,Very High,0.5856103857458028,10.038164413860812,15.764968602929914
arhar/tur,1997,Kharif     ,Assam,6637.0,4685,2051.4,631643.29,2057.47,0.710434783,Very High,0.5367475972605381,7.629718267385035,13.356081682400971
castor seed,1997,Kharif     ,Assam,796.0,22,2051.4,75755.32,246.76,0.238333333,Very High,0.2137663892324338,5.512460535664947,11.235277152234566
coconut,1997,Whole Year ,Assam,19656.0,126905000,2051.4,1870661.52,6093.36,5238.051739,Very High,8.5638957950991,8.715119032300333,14.441803214855376
cotton(lint),1997,Kharif     ,Assam,1739.0,794,2051.4,165500.63,539.09,0.420909091,Very High,0.35129687169899426,6.291735792337641,12.016736322693353
dry chillies,1997,Whole Year ,Assam,13587.0,9073,2051.4,1293074.79,4211.97,0.643636364,Very High,0.49691108238689885,8.345923141137144,14.07253427165875
gram,1997,Rabi       ,Assam,2979.0,1507,2051.4,283511.43,923.49,0.465454545,Very High,0.38216546396993795,6.829242234111026,12.555011245985966
jute,1997,Kharif     ,Assam,94520.0,904095,2051.4,8995468.4,29301.2,9.919565217,Very High,2.390556154231069,10.285417877510628,16.012231608552174
linseed,1997,Rabi       ,Assam,10098.0,5158,2051.4,961026.66,3130.38,0.461363636,Very High,0.379369997076479,8.049229080937437,13.77575847005643
maize,1997,Kharif     ,Assam,19216.0,14721,2051.4,1828786.72,5956.96,0.615652174,Very High,0.47973869807030944,8.692483419588388,14.419163857214487
mesta,1997,Kharif     ,Assam,5915.0,29003,2051.4,562930.55,1833.65,4.568947368,Very High,1.7172060536740226,7.514609006601482,13.240913318913229
niger seed,1997,Whole Year ,Assam,9914.0,5076,2051.4,943515.38,3073.34,0.482352941,Very High,0.3936306503421139,8.030845523057073,13.757369004530345
onion,1997,Whole Year ,Assam,7832.0,17943,2051.4,745371.44,2427.92,2.342608696,Very High,1.2067515488369456,7.795201993095444,13.52163929190668
other  rabi pulses,1997,Rabi       ,Assam,108297.0,58272,2051.4,10306625.49,33572.07,0.520869565,Very High,0.4192822535183675,10.42147953649275,16.148297594883598
